,Td,RH,Wind,%iy,id,it,tmr,shadows,tmr-path,shadows-path,utci,area_shdows,si/shab
10,21.5,62,7.4,1997,157,1900,Tmrt_1997_157_1900,Shadow_1997_157_1900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1900D.tif,13.090450350698813,116054.0,0.5998713461793695
11,21.3,62,7.4,1997,157,2000,Tmrt_1997_157_2000,Shadow_1997_157_2000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_2000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_2000D.tif,12.15297086763024,337494.0,1.7444722293713284
12,20.8,63,7.1,1997,157,2100,Tmrt_1997_157_2100,Shadow_1997_157_2100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_2100N.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_2100N.tif,,0.0,0.0
13,20.5,63,4.2,1997,158,0900,Tmrt_1997_158_0900,Shadow_1997_158_0900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_0900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_0900D.tif,15.863769959827156,29622.0,0.1531131112803116
14,21.9,57,4.2,1997,158,1000,Tmrt_1997_158_1000,Shadow_1997_158_1000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1000D.tif,18.000874981183202,19929.0,0.10301097814817804
15,22.8,54,3.6,1997,158,1100,Tmrt_1997_158_1100,Shadow_1997_158_1100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1100D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1100D.tif,20.497625400699402,13726.0,0.07094830077083104
16,24.2,49,2.5,1997,158,1200,Tmrt_1997_158_1200,Shadow_1997_158_1200,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1200D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1200D.tif,23.823013698630138,10950.0,0.056599438542954975
17,25.0,47,3.1,1997,158,1300,Tmrt_1997_158_1300,Shadow_1997_158_1300,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1300D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1300D.tif,23.718206149784905,10228.0,0.052867493828067894
18,26.7,42,3.3,1997,158,1400,Tmrt_1997_158_1400,Shadow_1997_158_1400,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1400D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1400D.tif,25.062601618148033,12916.0,0.0667614929882015
19,27.5,40,3.6,1997,158,1500,Tmrt_1997_158_1500,Shadow_1997_158_1500,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1500D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1500D.tif,25.31788055353241,20595.0,0.10645346454722901
20,28.5,37,3.6,1997,158,1600,Tmrt_1997_158_1600,Shadow_1997_158_1600,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1600D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1600D.tif,25.97640020449234,30808.0,0.1592434248978408
21,28.4,37,4.2,1997,158,1700,Tmrt_1997_158_1700,Shadow_1997_158_1700,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1700D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1700D.tif,24.709353186994857,43552.0,0.22511586734454567
22,28.4,35,5.0,1997,158,1800,Tmrt_1997_158_1800,Shadow_1997_158_1800,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1800D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1800D.tif,23.60079139113397,65328.0,0.3376738010168185
23,26.3,41,5.5,1997,158,1900,Tmrt_1997_158_1900,Shadow_1997_158_1900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_1900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_1900D.tif,20.48283449940105,115202.0,0.5954674446598629
24,24.8,48,6.6,1997,158,2000,Tmrt_1997_158_2000,Shadow_1997_158_2000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_2000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_2000D.tif,17.429969924631845,333828.0,1.7255230474810568
25,22.6,53,7.9,1997,158,2100,Tmrt_1997_158_2100,Shadow_1997_158_2100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_158_2100N.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_158_2100N.tif,,0.0,0.0
26,22.1,55,8.2,1997,159,0900,Tmrt_1997_159_0900,Shadow_1997_159_0900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_159_0900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_159_0900D.tif,13.778852733939374,29591.0,0.15295287542690233
